GEOID,GEOID
B17001_001E,Total:
B17001_002E,Income in the past 12 months below poverty level:
B17001_003E,Income in the past 12 months below poverty level:!!Male:
B17001_004E,Income in the past 12 months below poverty level:!!Male:!!Under 5 years
B17001_005E,Income in the past 12 months below poverty level:!!Male:!!5 years
B17001_006E,Income in the past 12 months below poverty level:!!Male:!!6 to 11 years
B17001_007E,Income in the past 12 months below poverty level:!!Male:!!12 to 14 years
B17001_008E,Income in the past 12 months below poverty level:!!Male:!!15 years
B17001_009E,Income in the past 12 months below poverty level:!!Male:!!16 and 17 years
B17001_010E,Income in the past 12 months below poverty level:!!Male:!!18 to 24 years
B17001_011E,Income in the past 12 months below poverty level:!!Male:!!25 to 34 years
B17001_012E,Income in the past 12 months below poverty level:!!Male:!!35 to 44 years
B17001_013E,Income in the past 12 months below poverty level:!!Male:!!45 to 54 years
B17001_014E,Income in the past 12 months below poverty level:!!Male:!!55 to 64 years
B17001_015E,Income in the past 12 months below poverty level:!!Male:!!65 to 74 years
B17001_016E,Income in the past 12 months below poverty level:!!Male:!!75 years and over
B17001_017E,Income in the past 12 months below poverty level:!!Female:
B17001_018E,Income in the past 12 months below poverty level:!!Female:!!Under 5 years
B17001_019E,Income in the past 12 months below poverty level:!!Female:!!5 years
B17001_020E,Income in the past 12 months below poverty level:!!Female:!!6 to 11 years
B17001_021E,Income in the past 12 months below poverty level:!!Female:!!12 to 14 years
B17001_022E,Income in the past 12 months below poverty level:!!Female:!!15 years
B17001_023E,Income in the past 12 months below poverty level:!!Female:!!16 and 17 years
B17001_024E,Income in the past 12 months below poverty level:!!Female:!!18 to 24 years
B17001_025E,Income in the past 12 months below poverty level:!!Female:!!25 to 34 years
B17001_026E,Income in the past 12 months below poverty level:!!Female:!!35 to 44 years
B17001_027E,Income in the past 12 months below poverty level:!!Female:!!45 to 54 years
B17001_028E,Income in the past 12 months below poverty level:!!Female:!!55 to 64 years
B17001_029E,Income in the past 12 months below poverty level:!!Female:!!65 to 74 years
B17001_030E,Income in the past 12 months below poverty level:!!Female:!!75 years and over
B17001_031E,Income in the past 12 months at or above poverty level:
B17001_032E,Income in the past 12 months at or above poverty level:!!Male:
B17001_033E,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years
B17001_034E,Income in the past 12 months at or above poverty level:!!Male:!!5 years
B17001_035E,Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years
B17001_036E,Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years
B17001_037E,Income in the past 12 months at or above poverty level:!!Male:!!15 years
B17001_038E,Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years
B17001_039E,Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years
B17001_040E,Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years
B17001_041E,Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years
B17001_042E,Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years
B17001_043E,Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years
B17001_044E,Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years
B17001_045E,Income in the past 12 months at or above poverty level:!!Male:!!75 years and ove
B17001_046E,Income in the past 12 months at or above poverty level:!!Female:
B17001_047E,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
B17001_048E,Income in the past 12 months at or above poverty level:!!Female:!!5 years
B17001_049E,Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years
B17001_050E,Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years
B17001_051E,Income in the past 12 months at or above poverty level:!!Female:!!15 years
B17001_052E,Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 year
B17001_053E,Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years
B17001_054E,Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years
B17001_055E,Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years
B17001_056E,Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years
B17001_057E,Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years
B17001_058E,Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years
B17001_059E,Income in the past 12 months at or above poverty level:!!Female:!!75 years and o
SUMLEVEL,Geographic Summary Level
ZCTA5,ZIP Code Tabulation Area (5 digit)
COMPONENT,Geographic Component
B17011_001E,Aggregate income deficit in the past 12 months:
B17011_002E,Married-couple family
B17011_003E,Other family:
B17011_004E,"Other family:!!Male householder, no wife present"
B17011_005E,"Other family:!!Female householder, no husband present"
B17016_001E,Total:
B17016_002E,Income in the past 12 months below poverty level:
B17016_003E,Income in the past 12 months below poverty level:!!Married-couple family:
B17016_004E,Income in the past 12 months below poverty level:!!Married-couple family:!!House
